Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
049,003,016,065,Utah,Box Elder County,Idaho,Madison County,1,2,30,45,-29,45,31,45
049,003,016,067,Utah,Box Elder County,Idaho,Minidoka County,39,61,0,22,39,61,39,61
049,003,016,071,Utah,Box Elder County,Idaho,Oneida County,21,30,98,91,-77,96,119,95
049,003,018,107,Utah,Box Elder County,Indiana,Montgomery County,1,3,0,24,1,3,1,3
049,003,019,113,Utah,Box Elder County,Iowa,Linn County,8,11,0,22,8,11,8,11
049,003,026,099,Utah,Box Elder County,Michigan,Macomb County,130,202,0,23,130,202,130,202
049,003,026,125,Utah,Box Elder County,Michigan,Oakland County,1,2,0,23,1,2,1,2
049,003,027,019,Utah,Box Elder County,Minnesota,Carver County,18,35,0,20,18,35,18,35
049,003,027,095,Utah,Box Elder County,Minnesota,Mille Lacs County,0,27,9,14,-9,14,9,14
049,003,028,033,Utah,Box Elder County,Mississippi,DeSoto County,8,12,0,30,8,12,8,12
049,003,029,037,Utah,Box Elder County,Missouri,Cass County,6,8,0,26,6,8,6,8
049,003,029,097,Utah,Box Elder County,Missouri,Jasper County,12,21,0,26,12,21,12,21
049,003,030,031,Utah,Box Elder County,Montana,Gallatin County,27,33,0,23,27,33,27,33
049,003,031,055,Utah,Box Elder County,Nebraska,Douglas County,38,45,0,22,38,45,38,45
049,003,031,109,Utah,Box Elder County,Nebraska,Lancaster County,3,6,0,22,3,6,3,6
049,003,032,001,Utah,Box Elder County,Nevada,Churchill County,41,65,0,23,41,65,41,65
049,003,032,003,Utah,Box Elder County,Nevada,Clark County,34,31,39,45,-5,56,73,54
049,003,032,019,Utah,Box Elder County,Nevada,Lyon County,95,142,0,29,95,142,95,142
049,003,035,043,Utah,Box Elder County,New Mexico,Sandoval County,27,29,0,28,27,29,27,29
049,003,035,045,Utah,Box Elder County,New Mexico,San Juan County,14,21,0,28,14,21,14,21
049,003,036,029,Utah,Box Elder County,New York,Erie County,0,27,11,17,-11,17,11,17
049,003,036,119,Utah,Box Elder County,New York,Westchester County,0,27,38,45,-38,45,38,45
049,003,037,085,Utah,Box Elder County,North Carolina,Harnett County,19,27,0,28,19,27,19,27
049,003,037,189,Utah,Box Elder County,North Carolina,Watauga County,0,27,2,6,-2,6,2,6
049,003,039,071,Utah,Box Elder County,Ohio,Highland County,0,27,21,31,-21,31,21,31
049,003,039,113,Utah,Box Elder County,Ohio,Montgomery County,2,3,0,27,2,3,2,3
049,003,041,027,Utah,Box Elder County,Oregon,Hood River County,3,6,0,22,3,6,3,6
049,003,041,065,Utah,Box Elder County,Oregon,Wasco County,4,9,0,22,4,9,4,9
049,003,042,091,Utah,Box Elder County,Pennsylvania,Montgomery County,51,67,0,24,51,67,51,67
049,003,042,095,Utah,Box Elder County,Pennsylvania,Northampton County,11,17,0,24,11,17,11,17
049,003,045,079,Utah,Box Elder County,South Carolina,Richland County,13,18,0,29,13,18,13,18
049,003,047,049,Utah,Box Elder County,Tennessee,Fentress County,18,25,0,19,18,25,18,25
049,003,047,125,Utah,Box Elder County,Tennessee,Montgomery County,0,27,27,42,-27,42,27,42
049,003,047,163,Utah,Box Elder County,Tennessee,Sullivan County,7,10,0,29,7,10,7,10
049,003,048,029,Utah,Box Elder County,Texas,Bexar County,4,6,0,31,4,6,4,6
049,003,048,055,Utah,Box Elder County,Texas,Caldwell County,0,27,2,4,-2,4,2,4
049,003,048,139,Utah,Box Elder County,Texas,Ellis County,0,27,13,18,-13,18,13,18
049,003,048,167,Utah,Box Elder County,Texas,Galveston County,23,29,0,31,23,29,23,29
049,003,048,201,Utah,Box Elder County,Texas,Harris County,2,5,0,31,2,5,2,5
049,003,048,367,Utah,Box Elder County,Texas,Parker County,1,4,0,31,1,4,1,4
049,003,048,471,Utah,Box Elder County,Texas,Walker County,14,19,0,31,14,19,14,19
049,003,049,001,Utah,Box Elder County,Utah,Beaver County,1,5,0,16,1,5,1,5
049,003,049,005,Utah,Box Elder County,Utah,Cache County,567,193,487,209,80,269,"1,054",300
049,003,049,007,Utah,Box Elder County,Utah,Carbon County,0,27,26,29,-26,29,26,29
049,003,049,011,Utah,Box Elder County,Utah,Davis County,108,56,335,166,-227,176,443,175
049,003,049,017,Utah,Box Elder County,Utah,Garfield County,6,11,0,16,6,11,6,11
049,003,049,021,Utah,Box Elder County,Utah,Iron County,0,27,25,42,-25,42,25,42
049,003,049,027,Utah,Box Elder County,Utah,Millard County,0,27,11,18,-11,18,11,18
049,003,049,035,Utah,Box Elder County,Utah,Salt Lake County,204,107,386,323,-182,360,590,319
049,003,049,037,Utah,Box Elder County,Utah,San Juan County,11,15,0,18,11,15,11,15
049,003,049,039,Utah,Box Elder County,Utah,Sanpete County,34,39,111,75,-77,89,145,80
049,003,049,041,Utah,Box Elder County,Utah,Sevier County,16,26,27,39,-11,48,43,45
049,003,049,045,Utah,Box Elder County,Utah,Tooele County,52,43,118,175,-66,187,170,174
049,003,049,047,Utah,Box Elder County,Utah,Uintah County,0,27,25,34,-25,34,25,34
049,003,049,049,Utah,Box Elder County,Utah,Utah County,153,118,214,119,-61,155,367,180
049,003,049,051,Utah,Box Elder County,Utah,Wasatch County,0,27,45,69,-45,69,45,69
049,003,049,053,Utah,Box Elder County,Utah,Washington County,75,58,26,41,49,71,101,72
049,003,049,057,Utah,Box Elder County,Utah,Weber County,"1,043",286,539,261,504,385,"1,582",389
049,003,053,007,Utah,Box Elder County,Washington,Chelan County,59,82,0,28,59,82,59,82
049,003,053,015,Utah,Box Elder County,Washington,Cowlitz County,2,4,0,28,2,4,2,4
049,003,053,033,Utah,Box Elder County,Washington,King County,10,14,119,193,-109,193,129,194
049,003,053,053,Utah,Box Elder County,Washington,Pierce County,5,8,0,28,5,8,5,8
049,003,055,019,Utah,Box Elder County,Wisconsin,Clark County,0,27,2,5,-2,5,2,5
